----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
        AutoConv2d-1         [-1, 64, 112, 112]           9,408
   AutoBatchNorm2d-2         [-1, 64, 112, 112]             128
              ReLU-3         [-1, 64, 112, 112]               0
         MaxPool2d-4           [-1, 64, 56, 56]               0
        AutoConv2d-5           [-1, 64, 56, 56]           4,096
   AutoBatchNorm2d-6           [-1, 64, 56, 56]             128
              ReLU-7           [-1, 64, 56, 56]               0
        AutoConv2d-8           [-1, 64, 56, 56]          36,864
   AutoBatchNorm2d-9           [-1, 64, 56, 56]             128
         Identity-10           [-1, 64, 56, 56]               0
             ReLU-11           [-1, 64, 56, 56]               0
         Identity-12           [-1, 64, 56, 56]               0
       AutoConv2d-13          [-1, 256, 56, 56]          16,384
  AutoBatchNorm2d-14          [-1, 256, 56, 56]             512
           Conv2d-15          [-1, 256, 56, 56]          16,384
  AutoBatchNorm2d-16          [-1, 256, 56, 56]             512
             ReLU-17          [-1, 256, 56, 56]               0
       Bottleneck-18          [-1, 256, 56, 56]               0
       AutoConv2d-19           [-1, 64, 56, 56]          16,384
  AutoBatchNorm2d-20           [-1, 64, 56, 56]             128
             ReLU-21           [-1, 64, 56, 56]               0
       AutoConv2d-22           [-1, 64, 56, 56]          36,864
  AutoBatchNorm2d-23           [-1, 64, 56, 56]             128
         Identity-24           [-1, 64, 56, 56]               0
             ReLU-25           [-1, 64, 56, 56]               0
         Identity-26           [-1, 64, 56, 56]               0
       AutoConv2d-27          [-1, 256, 56, 56]          16,384
  AutoBatchNorm2d-28          [-1, 256, 56, 56]             512
             ReLU-29          [-1, 256, 56, 56]               0
       Bottleneck-30          [-1, 256, 56, 56]               0
       AutoConv2d-31           [-1, 64, 56, 56]          16,384
  AutoBatchNorm2d-32           [-1, 64, 56, 56]             128
             ReLU-33           [-1, 64, 56, 56]               0
       AutoConv2d-34           [-1, 64, 56, 56]          36,864
  AutoBatchNorm2d-35           [-1, 64, 56, 56]             128
         Identity-36           [-1, 64, 56, 56]               0
             ReLU-37           [-1, 64, 56, 56]               0
         Identity-38           [-1, 64, 56, 56]               0
       AutoConv2d-39          [-1, 256, 56, 56]          16,384
  AutoBatchNorm2d-40          [-1, 256, 56, 56]             512
             ReLU-41          [-1, 256, 56, 56]               0
       Bottleneck-42          [-1, 256, 56, 56]               0
       AutoConv2d-43          [-1, 128, 56, 56]          32,768
  AutoBatchNorm2d-44          [-1, 128, 56, 56]             256
             ReLU-45          [-1, 128, 56, 56]               0
       AutoConv2d-46          [-1, 128, 28, 28]         147,456
  AutoBatchNorm2d-47          [-1, 128, 28, 28]             256
         Identity-48          [-1, 128, 28, 28]               0
             ReLU-49          [-1, 128, 28, 28]               0
         Identity-50          [-1, 128, 28, 28]               0
       AutoConv2d-51          [-1, 512, 28, 28]          65,536
  AutoBatchNorm2d-52          [-1, 512, 28, 28]           1,024
           Conv2d-53          [-1, 512, 28, 28]         131,072
  AutoBatchNorm2d-54          [-1, 512, 28, 28]           1,024
             ReLU-55          [-1, 512, 28, 28]               0
       Bottleneck-56          [-1, 512, 28, 28]               0
       AutoConv2d-57          [-1, 128, 28, 28]          65,536
  AutoBatchNorm2d-58          [-1, 128, 28, 28]             256
             ReLU-59          [-1, 128, 28, 28]               0
       AutoConv2d-60          [-1, 128, 28, 28]         147,456
  AutoBatchNorm2d-61          [-1, 128, 28, 28]             256
         Identity-62          [-1, 128, 28, 28]               0
             ReLU-63          [-1, 128, 28, 28]               0
         Identity-64          [-1, 128, 28, 28]               0
       AutoConv2d-65          [-1, 512, 28, 28]          65,536
  AutoBatchNorm2d-66          [-1, 512, 28, 28]           1,024
             ReLU-67          [-1, 512, 28, 28]               0
       Bottleneck-68          [-1, 512, 28, 28]               0
       AutoConv2d-69          [-1, 128, 28, 28]          65,536
  AutoBatchNorm2d-70          [-1, 128, 28, 28]             256
             ReLU-71          [-1, 128, 28, 28]               0
